,date,citedCount
a study of relative clauses in williams syndrome, 10 July 2002,58
reference and attitude in infant pointing, 25 January 2007,58
broadening the units of analysis in communication speech and nonverbal behaviours in pragmatic comprehension, 25 June 2001,58
‘word-learning wizardry’ at 1;6, 14 February 2005,58
phonological neighbourhood density effects in a rhyme awareness task in five-year-old children, 07 August 2003,57
early lexical development in english- andkorean-speaking children language-general andlanguage-specific patterns, 01 June 2000,57
comparing communicative competence in child and chimp the pragmatics of repetition, 26 September 2008,57
representational demands in mothers' talk to preschool children in two contexts picture book reading and a modelling task, 17 February 2009,57
lexically specific constructions in the acquisition of inflection inenglish, 17 March 2003,57
the association between comprehension of spoken sentences and early reading ability the role of phonetic representation, 26 September 2008,56
doggerel motherese in a new context, 26 September 2008,56
children's comprehension of their mothers' question-directives, 26 September 2008,56
language mixing in bilingual children, 26 September 2008,56
semantic development in textual contexts during the school years noun scale analyses, 08 November 2006,56
the acquisition of the voicing contrast in spanish a phonetic and phonological study of word-initial stop consonants, 26 September 2008,56
prosodically-conditioned variability in children's production of french determiners, 03 January 2008,56
predictive validity of the new zealandmacarthur communicative development inventorywords and sentences, 01 June 2000,55
predictive validity of the new zealandmacarthur communicative development inventorywords and sentences, 01 June 2000,55
comprehension and production of relative clausesa comparison between swedish impaired andunimpaired children, 01 June 2000,55
a parent-directed language intervention for children of low socioeconomic status a randomized controlled pilot study, 04 June 2015,55
lexical segmentation and vocabulary growth in early language acquisition, 26 September 2008,55
linguistic indicators of inter-genre differentiation in later language development, 07 July 2004,55
preschool children's intraconversational narratives, 26 September 2008,55
the acquisition of hebrew plurals the case of the missing gender category, 26 September 2008,55
types of linguistic knowledge interpreting and producing compound nouns, 17 February 2009,55
the linguistic affiliation constraint and phoneme recognition in diglossic arabic, 24 June 2010,55
caregiver input in english and korean use of nounsand verbs in book-reading and toy-play contexts, 01 February 2000,55
quiché mayan speech to children, 26 September 2008,54
speech roles and the development of personal pronouns, 26 September 2008,54
phonology and the development of the lexicon evidence from children's errors, 26 September 2008,54
who is ‘daddy’ revisited the status of two-year-olds' over-extended words in use and comprehension, 26 September 2008,53
how children understand idioms in discourse, 17 February 2009,53
"semantic generality, input frequency and the acquisition of syntax", 23 February 2004,53
lexical development and overextension in child language, 26 September 2008,53
learning about points of view spatial perspective and the acquisition of ‘i/you’, 26 September 2008,52
the (non)realization of unstressed elements in children's utterances evidence for a rhythmic constraint[], 26 September 2008,52
a pragmatic analysis of spontaneous imitations, 26 September 2008,52
aspectual influences on early tense comprehension, 23 January 2002,51
"age-relation, reliability and grammatical validity of measures of utterance length", 17 February 2009,51
strategies in the acquisition of deixis, 26 September 2008,51
development of precursors to speech in infantsexposed to two languages, 01 June 1997,51
bilingual children's acquisition of the past tense a usage-based approach, 26 August 2010,51
"the marking of new information in children's narratives a comparison of english, french, german and mandarin chinese", 26 September 2008,51
marking of verb transitivity by hebrew-speaking children, 26 September 2008,50
features of infant sounds the first eight weeks of life, 26 September 2008,50
imageability predicts the age of acquisition of verbs in chinese children, 21 October 2008,50
mothers' and fathers' speech to their young children similar or different?, 26 September 2008,50
maternal speech and the child's development of syntax a further look, 17 February 2009,50
mothers' use of superordinate category terms, 26 September 2008,50
monolingual and bilingual children's use of themutual exclusivity constraint, 01 February 1997,50
ostensive definition in vocabulary teaching, 26 September 2008,50
early lexical development in german a study on vocabulary growth and vocabulary composition during the second and third year of life, 21 November 2002,49
infant-directed speech facilitates lexical learning in adults hearing chinese implications for language acquisition, 26 September 2008,49
subject–verb agreement in brazilian portuguese what low errorrates hide, 01 February 1998,49
children's understanding of homonymy metalinguistic awareness and false belief, 01 June 2000,49
the acquisition of plural marking in english andgerman revisited schemata versus rules, 01 June 1998,49
more about the same children's understanding of post-articles, 26 September 2008,49
perceptual responses to infant crying identification of cry types, 26 September 2008,49
the uses of imitation, 26 September 2008,49
a cross-linguistic perspective on the development of temporal systems, 17 February 2009,49
maternal labelling of novel and familiar objects implications forchildren's development of lexical constraints, 01 June 1997,49
can input explain children's me-for-i errors?, 16 February 2009,49
age-related changes in preschool children's systematic use of private speech in a natural setting, 16 November 2000,49
repetition as ratification how parents and children place information in common ground, 16 April 2008,48
non-word repetition assesses phonological memory and is related to vocabulary development in 20- to 24-month-olds, 06 October 2008,48
children's metaphoric productions and preferences[], 26 September 2008,48
early relations between lexical and grammatical development in very immature italian preterms, 22 February 2006,48
reanalysing rote-learned phrases individual differences in the transition to multi-word speech, 26 September 2008,48
what's the difference between ‘toilet paper’ and ‘paper toilet’? french-english bilingual children's crosslinguistic transfer in compound nouns, 21 November 2002,48
colour-name versus shape-name learning in young children, 26 September 2008,48
consonant clusters in child phonology and the directionality of syllable structure assignment, 26 September 2008,47
acoustical cues and grammatical units in speech to two preverbal infants, 06 October 2008,47
learning to make definitions, 26 September 2008,47
cue validity in hebrew sentence comprehension, 17 February 2009,47
object name learning and object perception a deficit in late talkers, 14 February 2005,47
article use in spanish-speaking children with specific language impairment, 25 June 2001,47
children's knowledge of the presuppositions of know and other cognitive verbs, 26 September 2008,46
genre and evaluation in narrative development, 17 March 2003,46
the early language in victoria study predicting vocabulary at age one and two years from gesture and object use, 27 June 2008,46
"variability, negative evidence, and the acquisition of verb argument constructions", 06 April 2010,46
evaluating quantitative measures of grammatical complexity in spontaneous speech samples, 26 September 2008,46
pre-school children's use of the articles in definite and indefinite referring expressions, 26 September 2008,46
noun bias in maternal speech to one-year-olds, 26 September 2008,46
is nativism sufficient?[], 26 September 2008,46
the development of sentence planning, 17 February 2009,46
narrative discourse in grammatical specific language impaired childrena modular language deficit?, 01 February 1997,46
phonetic analysis of late babbling a case study of a french child, 26 September 2008,46
the cognitive bases of relational words in the single word period, 26 September 2008,46
asymmetries in the acquisition of word-initial and word-final consonant clusters, 13 December 2005,46
the acquisition of time talk relations between child and adult grammars, 26 September 2008,46
parents' speech to toddlers the effect of play context, 17 February 2009,46
pragmatics abilities in narrative production a cross-disorder comparison, 30 April 2013,46
discrepancy between parental reports of infants' receptive vocabulary and infants' behaviour in a preferential looking task, 24 October 2007,45
emotional state talk and emotion understanding a training study with preschool children, 23 March 2011,45
the role of input frequency in lexical acquisition, 26 September 2008,45
the bilingual lexicon implications for studies of language choice, 26 September 2008,45
predicting variation in the timing of languagemilestones in the second year an events historyapproach, 01 October 1998,45
context-related age changes in mothers' speech joint book reading, 26 September 2008,45
alternative explanations for the relationship between maternal verbal interaction style and child language development, 17 February 2009,45
pitch characteristics of japanese maternal speech to infants, 17 February 2009,45
"some differences between english plural nouninflections and third singular verb inflections in theinput the contributions of frequency, sentenceposition, and duration", 01 October 1999,45
perception and production in child phonology the testing of four hypotheses , 26 September 2008,45
patterns of intra-word phonological variability during the second year of life, 22 February 2006,44
the development of regular and irregular verb inflection in spanish child language, 22 July 2002,44
size and composition of the lexicon in prematurely born very-low-birth-weight and full-term finnish children at two years of age, 02 April 2007,44
acquisition of complementation, 17 February 2009,44
acquisition of derived nominals in hebrewdevelopmental and linguistic principles, 01 June 1998,44
tone acquisition in cantonese a longitudinal case study, 26 September 2008,44
comprehension of two-word instructions by children in the one-word stage, 26 September 2008,44
fine-tuning of utterance length to preverbal infants effects on later language development, 17 February 2009,44
children's comprehension of unfamiliar regionalaccents a preliminary investigation, 01 June 1998,44
some reasons why successive single word utterances are not, 26 September 2008,44
the role of parental input in the development of a morphological system, 17 February 2009,44
"overextensions in comprehension and production revisited preferential-looking in a study of dog, cat, and cow", 26 September 2008,43
higher pitch in bt is not universal acoustic evidence from quiche mayan, 26 September 2008,43
word learning in a special population do individualswith williams syndrome obey lexical constraints?, 01 October 1997,43
children's understanding of the speech act of promising, 17 February 2009,43
functional changes in early child language the appearance of references to the past and of explanations, 26 September 2008,43
children's understanding of the speech act of promising, 17 February 2009,43
object permanence and relational words a lexical training study, 26 September 2008,43
determinants of acquisition order in wh-questions re-evaluating the role of caregiver speech, 07 August 2003,43
competence and performance in child language are children really competent to judge?, 26 September 2008,43
"the who, when and where of early narratives", 17 February 2009,43
linguistic significance of babbling evidence from a tracheostomized infant, 17 February 2009,43
the development of segmental phonological production in a bilingual child, 26 September 2008,43
"does imitation facilitate the acquisition of grammar? evidence from a study of autistic, down's syndrome and normal children", 17 February 2009,43
children's overregularization of english plurals a quantitative analysis, 26 September 2008,42
contrast a semantic constraint?, 17 February 2009,42
fast mapping by bilingual preschool children, 27 June 2008,42
vocabulary development in italian children a longitudinal evaluation of quantitative and qualitative aspects, 25 June 2001,42
verbal and nonverbal predictors of early language problems an analysis of twins in early childhood back to infancy, 04 November 2004,42
learning to in complement constructions, 26 September 2008,42
communicative functions of pitch range and pitch direction in infants, 17 February 2009,42
rethinking echolalia repetition as interactional resource in the communication of a child with autism, 07 March 2013,41
lexical constraints in phonological acquisition, 01 June 1999,41
age-related changes in acoustic modifications of mandarin maternal speech to preverbal infants and five-year-old children a longitudinal study, 23 February 2009,41
patterns of parental vocabulary selection in speech to very young children, 17 February 2009,41
patterns of parental vocabulary selection in speech to very young children, 17 February 2009,41
long-term effects of preterm birth on language and literacy at eight years, 24 August 2009,41
conversational asymmetry between mothers and children, 26 September 2008,41
early passive acquisition in inuktitut, 26 September 2008,40
towards a theory of definition, 26 September 2008,40
‘this man's father is my father's son’ a study of the acquisition of english kin terms, 26 September 2008,40
implicit contrast in adjectives vs. nouns implications for word-learning in preschoolers, 26 September 2008,40
language input and semantic categories a relation between cognition and early word learning, 08 November 2006,40
early lexical acquisition and the vocabulary spurt a response to goldfield & reznick, 26 September 2008,40
beyond the basics preschool children label objects flexibly at multiple hierarchical levels, 17 February 2009,40
mothers' speech to prelingual infants a pragmatic analysis, 26 September 2008,40
abstract categories or limited-scope formulae? the case of children's determiners, 05 January 2009,40
the structure of /s/-sequences evidence from a disordered system, 25 June 2001,40
mean length of utterance and the acquisition of irish, 17 February 2009,40
"polish children's productivity with case marking the role of regularity, type frequency, and phonological diversity", 21 August 2006,40
a comparison of homonym and novel word learning the role of phonotactic probability and word frequency, 13 December 2005,40
maternal speech to three-month-old infants in the united states and japan, 17 February 2009,40
the contrastive hypothesis for the acquisition of word meaning a reconsideration of the theory†, 17 February 2009,40
children's comprehension of ‘before’ and ‘after’ reinvestigated, 26 September 2008,40
filler syllables what is their status in emerginggrammar?, 20 March 2001,39
from one word to two words repetition patterns on the way to structured speech, 17 February 2009,39
filler syllables what is their status in emerginggrammar?, 20 March 2001,39
rethinking child difficulty the effect of np type on children's processing of relative clauses in hebrew, 30 March 2009,39
input and uptake at 7 months predicts toddler vocabulary the role of child-directed speech and infant processing skills in language development, 24 August 2015,39
why we don't talk ‘baby talk’ to babies, 26 September 2008,39
child language with mother and with stranger athome and in the laboratory a methodological study, 01 June 2000,39
infants' sensitivity to word boundaries in fluent speech, 26 September 2008,39
"development of categorical identification of native and non-native bilabial stops infants, children and adults", 17 February 2009,39
weird past tense forms, 26 September 2008,38
"verb-pattern alternation the interface of morphology, syntax, and semantics in hebrew child language", 26 September 2008,38
what part of no do children not understand? a usage-based account of multiword negation, 02 April 2007,38
"going, going, gone the acquisition of the verb ‘go’", 21 November 2002,38
the role of speech discrimination in developmental sound substitutions, 26 September 2008,38
observational and checklist measures of vocabulary composition what do they mean?, 26 September 2008,38
the development of referential choice in english and japanese a discourse-pragmatic perspective, 08 November 2006,38
comparing different accounts of inversion errors in children's non-subject wh-questions ‘what experimental data can tell us?’, 21 August 2006,38
writing in four- to six-year-olds representation of semantic and phonetic similarities and differences, 17 February 2009,38
count/mass category acquisition distributional distinctions in children's speech, 17 February 2009,38
features of infant sounds the emergence of cooing, 26 September 2008,38
evaluative explanations in children's narratives of avideo sequence without dialogue, 01 October 1999,37
symmetries and asymmetries in early lexical comprehension and production, 26 September 2008,37
evaluative explanations in children's narratives of avideo sequence without dialogue, 01 October 1999,37
early lexical development and maternal speech a comparison of children's initial and subsequent uses of words, 17 February 2009,37
coherent discourse solves the pronoun interpretation problem, 02 September 2008,37
‘he has too much hard questions’ the acquisition of the linguistic mass–count distinction in much and many, 26 September 2008,37
infants' reliance on shape to generalize novel labelsto animate and inanimate objects, 01 June 1999,37
the acquisition of past tense morphology in icelandicand norwegian children an experimental study, 01 October 1999,37
when is communication a ‘meeting of minds’?, 26 September 2008,37
"rules, rote, and analogy in morphological formations by hungarian children", 26 September 2008,37
relationships between parental input frequencies and children's language acquisition a reanalysis of brown's data, 26 September 2008,37
the relationship of parenting stress and child temperament to language development among economically disadvantaged preschoolers, 06 October 2008,37
shared attention and grammatical development intypical children and children with autism, 01 October 1998,36
early talk about the past revisited affect in working-class andmiddle-class children's co-narrations, 01 February 1999,36
the hyperarticulation hypothesis of infant-directed speech, 13 February 2013,36
fronting in child phonology, 26 September 2008,36
pronoun case overextensions and paradigm building1, 26 September 2008,36
personal pronouns and perspective taking in toddlers, 01 October 1999,36
rethinking the acquisition of relative clauses in italian towards a grammatically based account, 22 December 2009,36
gesture as a support for word learning the case of under, 24 October 2008,36
what counts as effective input for word learning?, 10 May 2012,36
acquisition of epistemic and deontic meaning of modals, 26 September 2008,36
a longitudinal analysis of young children's cohesion and noun specification in narratives, 17 February 2009,36
getting to the root young writers' sensitivity to the role of root morphemes in the spelling of inflected and derived words, 24 May 2006,35
phonological development of two-year-old monolingual puerto rican spanish-speaking children, 17 February 2009,35
mixing and pragmatic parental strategies in earlybilingual acquisition, 20 March 2001,35
"subject, topic and sesotho passive", 17 February 2009,35
syntactic styles in emerging language, 26 September 2008,35
young children's acquisition of wh-questions the role of structured input, 17 March 2003,35
conversational or communicative skill? a reassessment of two-year-olds' behaviour in miscommunication episodes, 17 February 2009,35
structure and function of baby talk in a day-care centre, 17 February 2009,35
a naturalistic study of the production of causal connectives by children, 26 September 2008,35
discriminating down syndrome and fragile x syndrome based on language ability, 05 December 2012,35
the effects of intonation on infant attention the role of the rising intonation contour, 26 September 2008,35
on learning to draw the distinction between physical and metaphorical motion is metaphor an early emerging cognitive and linguistic capacity?, 14 June 2005,35
acquiring the english adjective lexicon relationships with input properties and adjectival semantic typology, 06 September 2005,35
yes or no? how young french children combine gestures and speech to agree and refuse, 13 December 2005,35
development of children's ability to distinguish sarcasm and verbal irony, 15 June 2009,35
contextual information and temporal terms, 17 February 2009,35
learning to stress a case study, 26 September 2008,35
satisfying inquisitive adults some simple methods of answering yes/no questions, 26 September 2008,34
typological effects on spelling development a crosslinguistic study of hebrew and dutch, 21 August 2006,34
age- and ability-related differences in young readers' use of conjunctions, 13 December 2005,34
intonation comprehension in ten-year-olds, 26 September 2008,34
spoken word recognition by latino children learning spanish as their first language, 02 April 2007,34
grammaticality judgments in autism deviance or delay, 19 February 2009,34
object and action picture naming in three- and five-year-old children, 16 April 2008,34
a note on empiricism and structure-dependence, 26 September 2008,34
chinese children's understanding of false beliefs therole of language, 01 February 1999,34
getting and maintaining attention in talk to young children, 24 October 2007,34
reciprocal influences between maternal language and children's language and cognitive development in low-income families, 30 January 2013,33
the relation of children's single word utterances to single word utterances in the input, 17 February 2009,33
phonetic and phonological contrasts in the acquisition of voicing voice onset time production in hindi and english, 26 September 2008,33
